account_id,customer_id,branch_id,account_type,account_status,opened_date,currency,snapshot_date
ACC0000000114,CUST00000678,BR0031,SAVINGS,ACTIVE,7/8/2024,NPR,1/1/2026
ACC0000000115,CUST00004116,BR0015,CURRENT,ACTIVE,8/31/2019,NPR,1/1/2026
ACC0000000116,CUST00001086,BR0029,LOAN,ACTIVE,1/1/2021,NPR,1/1/2026
ACC0000000117,CUST00002282,BR0011,SAVINGS,ACTIVE,6/29/2021,NPR,1/1/2026
ACC0000000118,CUST00004823,BR0013,SAVINGS,ACTIVE,7/15/2019,NPR,1/1/2026
ACC0000000119,CUST00002673,BR0012,SAVINGS,ACTIVE,5/19/2021,NPR,1/1/2026
ACC0000000120,CUST00000762,BR0034,SAVINGS,ACTIVE,9/10/2020,NPR,1/1/2026
ACC0000000121,CUST00003551,BR0008,LOAN,ACTIVE,4/18/2024,NPR,1/1/2026
ACC0000000122,CUST00000970,BR0009,CURRENT,ACTIVE,12/25/2022,NPR,1/1/2026
ACC0000000123,CUST00002692,BR0030,LOAN,ACTIVE,8/14/2022,NPR,1/1/2026
ACC0000000124,CUST00001646,BR0029,LOAN,ACTIVE,1/11/2022,NPR,1/1/2026
ACC0000000125,CUST00002241,BR0018,CURRENT,ACTIVE,5/24/2021,NPR,1/1/2026
ACC0000000126,CUST00002173,BR0020,SALARY,ACTIVE,7/22/2022,NPR,1/1/2026
ACC0000000127,CUST00002817,BR0020,SALARY,BLOCKED,6/28/2020,NPR,1/1/2026
ACC0000000128,CUST00000885,BR0030,CURRENT,ACTIVE,4/28/2022,NPR,1/1/2026
ACC0000000129,CUST00003453,BR0004,CURRENT,ACTIVE,11/3/2025,NPR,1/1/2026
ACC0000000130,CUST00003421,BR0039,SALARY,ACTIVE,2/17/2024,NPR,1/1/2026
ACC0000000131,CUST00004077,BR0005,SALARY,ACTIVE,2/26/2022,NPR,1/1/2026
ACC0000000132,CUST00002061,BR0034,CURRENT,ACTIVE,1/5/2021,NPR,1/1/2026
ACC0000000133,CUST00001669,BR0040,LOAN,ACTIVE,10/16/2020,NPR,1/1/2026
ACC0000000134,CUST00003615,BR0014,WALLET,CLOSED,9/2/2025,NPR,1/1/2026
ACC0000000135,CUST00003195,BR0017,SALARY,ACTIVE,2/16/2020,NPR,1/1/2026
ACC0000000136,CUST00004805,BR0037,WALLET,ACTIVE,4/23/2025,NPR,1/1/2026
ACC0000000137,CUST00000425,BR0015,SAVINGS,ACTIVE,6/13/2025,NPR,1/1/2026
ACC0000000138,CUST00004822,BR0016,SALARY,ACTIVE,9/28/2025,NPR,1/1/2026
ACC0000000139,CUST00001218,BR0004,SALARY,ACTIVE,9/30/2021,NPR,1/1/2026
ACC0000000140,CUST00002563,BR0020,CURRENT,ACTIVE,5/10/2020,NPR,1/1/2026
ACC0000000141,CUST00001455,BR0027,LOAN,ACTIVE,1/1/2022,NPR,1/1/2026
ACC0000000142,CUST00002191,BR0039,SAVINGS,ACTIVE,1/7/2021,NPR,1/1/2026
ACC0000000143,CUST00000620,BR0035,WALLET,ACTIVE,7/11/2024,NPR,1/1/2026
ACC0000000144,CUST00000480,BR0035,SALARY,ACTIVE,6/29/2023,NPR,1/1/2026
ACC0000000145,CUST00004054,BR0015,SALARY,ACTIVE,5/15/2022,NPR,1/1/2026
ACC0000000146,CUST00003335,BR0020,WALLET,ACTIVE,9/18/2021,NPR,1/1/2026
ACC0000000147,CUST00002994,BR0016,SAVINGS,DORMANT,1/28/2022,NPR,1/1/2026
ACC0000000148,CUST00001754,BR0008,SAVINGS,ACTIVE,9/20/2023,NPR,1/1/2026
ACC0000000149,CUST00000195,BR0022,CURRENT,ACTIVE,3/19/2025,NPR,1/1/2026
ACC0000000150,CUST00003458,BR0017,LOAN,ACTIVE,3/6/2020,NPR,1/1/2026
ACC0000000151,CUST00003053,BR0018,LOAN,DORMANT,9/5/2023,NPR,1/1/2026
ACC0000000152,CUST00000624,BR0012,LOAN,ACTIVE,1/27/2021,NPR,1/1/2026
ACC0000000153,CUST00004687,BR0026,SALARY,ACTIVE,5/6/2022,NPR,1/1/2026
ACC0000000154,CUST00004501,BR0021,WALLET,ACTIVE,2/26/2024,NPR,1/1/2026
ACC0000000155,CUST00000819,BR0020,WALLET,ACTIVE,5/22/2025,NPR,1/1/2026
ACC0000000156,CUST00002810,BR0033,WALLET,CLOSED,10/28/2019,NPR,1/1/2026
ACC0000000157,CUST00000301,BR0005,SALARY,ACTIVE,1/17/2024,NPR,1/1/2026
ACC0000000158,CUST00004690,BR0004,SALARY,DORMANT,8/2/2024,NPR,1/1/2026
ACC0000000159,CUST00003062,BR0012,WALLET,ACTIVE,2/21/2024,NPR,1/1/2026
ACC0000000160,CUST00004543,BR0039,SALARY,ACTIVE,3/23/2024,NPR,1/1/2026
ACC0000000161,CUST00001875,BR0003,LOAN,ACTIVE,9/20/2019,NPR,1/1/2026
ACC0000000162,CUST00001218,BR0034,SAVINGS,ACTIVE,6/16/2023,NPR,1/1/2026
ACC0000000163,CUST00000898,BR0021,SALARY,ACTIVE,9/26/2020,NPR,1/1/2026
ACC0000000164,CUST00000457,BR0038,SAVINGS,ACTIVE,8/13/2019,NPR,1/1/2026
ACC0000000165,CUST00002648,BR0011,CURRENT,ACTIVE,11/27/2020,NPR,1/1/2026
ACC0000000166,CUST00002722,BR0028,CURRENT,ACTIVE,1/4/2021,NPR,1/1/2026
ACC0000000167,CUST00000510,BR0015,CURRENT,ACTIVE,11/23/2019,NPR,1/1/2026
ACC0000000168,CUST00002856,BR0037,SAVINGS,ACTIVE,9/30/2025,NPR,1/1/2026
ACC0000000169,CUST00004535,BR0010,WALLET,DORMANT,9/7/2019,NPR,1/1/2026
ACC0000000170,CUST00002273,BR0005,CURRENT,ACTIVE,9/29/2021,NPR,1/1/2026
ACC0000000171,CUST00004841,BR0033,SAVINGS,ACTIVE,11/27/2019,NPR,1/1/2026
ACC0000000172,CUST00001494,BR0033,SALARY,DORMANT,9/16/2019,NPR,1/1/2026
ACC0000000173,CUST00002607,BR0021,SALARY,ACTIVE,9/15/2019,NPR,1/1/2026
ACC0000000174,CUST00004511,BR0007,CURRENT,ACTIVE,10/7/2022,NPR,1/1/2026
ACC0000000175,CUST00003487,BR0022,SALARY,ACTIVE,7/7/2025,NPR,1/1/2026
ACC0000000176,CUST00001088,BR0031,SALARY,ACTIVE,4/19/2023,NPR,1/1/2026
ACC0000000177,CUST00001911,BR0021,CURRENT,ACTIVE,6/7/2025,NPR,1/1/2026
ACC0000000178,CUST00003994,BR0022,SALARY,ACTIVE,3/29/2019,NPR,1/1/2026
ACC0000000179,CUST00003543,BR0038,SALARY,ACTIVE,2/7/2025,NPR,1/1/2026
ACC0000000180,CUST00004435,BR0024,SALARY,ACTIVE,8/9/2024,NPR,1/1/2026
ACC0000000181,CUST00003920,BR0035,SAVINGS,ACTIVE,1/21/2024,NPR,1/1/2026
ACC0000000182,CUST00000368,BR0011,SALARY,ACTIVE,7/14/2022,NPR,1/1/2026
ACC0000000183,CUST00002124,BR0033,SALARY,ACTIVE,11/13/2023,NPR,1/1/2026
ACC0000000184,CUST00001964,BR0012,LOAN,ACTIVE,4/27/2025,NPR,1/1/2026
ACC0000000185,CUST00004919,BR0001,CURRENT,DORMANT,10/24/2019,NPR,1/1/2026
ACC0000000186,CUST00000052,BR0015,SALARY,ACTIVE,5/19/2021,NPR,1/1/2026
ACC0000000187,CUST00004626,BR0020,SALARY,ACTIVE,1/11/2023,NPR,1/1/2026
ACC0000000188,CUST00002531,BR0010,WALLET,ACTIVE,10/4/2024,NPR,1/1/2026
ACC0000000189,CUST00000135,BR0012,CURRENT,DORMANT,10/7/2025,NPR,1/1/2026
ACC0000000190,CUST00002000,BR0004,CURRENT,ACTIVE,5/7/2024,NPR,1/1/2026
ACC0000000191,CUST00000084,BR0037,CURRENT,DORMANT,5/14/2024,NPR,1/1/2026
ACC0000000192,CUST00000253,BR0033,SAVINGS,ACTIVE,5/2/2021,NPR,1/1/2026
ACC0000000193,CUST00004644,BR0023,WALLET,ACTIVE,3/27/2024,NPR,1/1/2026
ACC0000000194,CUST00003548,BR0040,CURRENT,ACTIVE,7/8/2022,NPR,1/1/2026
ACC0000000195,CUST00004618,BR0007,CURRENT,ACTIVE,10/31/2023,NPR,1/1/2026
ACC0000000196,CUST00001231,BR0004,WALLET,ACTIVE,5/2/2025,NPR,1/1/2026
ACC0000000197,CUST00002636,BR0008,SAVINGS,ACTIVE,12/15/2022,NPR,1/1/2026
ACC0000000198,CUST00003183,BR0028,SALARY,ACTIVE,1/23/2024,NPR,1/1/2026
ACC0000000199,CUST00004072,BR0026,WALLET,ACTIVE,5/8/2024,NPR,1/1/2026
ACC0000000200,CUST00002208,BR0004,SALARY,ACTIVE,4/22/2021,NPR,1/1/2026
ACC0000000201,CUST00001519,BR0003,CURRENT,ACTIVE,8/25/2020,NPR,1/1/2026
ACC0000000202,CUST00003705,BR0036,LOAN,ACTIVE,4/2/2020,NPR,1/1/2026
ACC0000000203,CUST00003958,BR0032,WALLET,ACTIVE,12/24/2020,NPR,1/1/2026
ACC0000000204,CUST00003858,BR0006,WALLET,DORMANT,8/21/2025,NPR,1/1/2026
ACC0000000205,CUST00004547,BR0012,CURRENT,CLOSED,11/10/2021,NPR,1/1/2026
ACC0000000206,CUST00004307,BR0004,LOAN,ACTIVE,8/27/2020,NPR,1/1/2026
ACC0000000207,CUST00003763,BR0036,LOAN,ACTIVE,6/21/2021,NPR,1/1/2026
ACC0000000208,CUST00001571,BR0030,WALLET,ACTIVE,8/28/2024,NPR,1/1/2026
ACC0000000209,CUST00000087,BR0035,CURRENT,ACTIVE,12/20/2022,NPR,1/1/2026
ACC0000000210,CUST00002650,BR0033,SAVINGS,ACTIVE,12/24/2019,NPR,1/1/2026
ACC0000000211,CUST00002499,BR0011,WALLET,ACTIVE,11/21/2024,NPR,1/1/2026
ACC0000000212,CUST00003344,BR0002,SAVINGS,DORMANT,12/17/2023,NPR,1/1/2026
ACC0000000213,CUST00004542,BR0023,WALLET,ACTIVE,1/11/2022,NPR,1/1/2026
ACC0000000214,CUST00002032,BR0033,SALARY,ACTIVE,6/7/2025,NPR,1/1/2026
ACC0000000215,CUST00002602,BR0023,CURRENT,ACTIVE,3/12/2021,NPR,1/1/2026
ACC0000000216,CUST00001732,BR0029,SALARY,CLOSED,12/17/2024,NPR,1/1/2026
ACC0000000217,CUST00004148,BR0014,CURRENT,ACTIVE,9/27/2025,NPR,1/1/2026
ACC0000000218,CUST00000508,BR0035,SAVINGS,ACTIVE,1/6/2025,NPR,1/1/2026
ACC0000000219,CUST00000668,BR0030,LOAN,ACTIVE,1/12/2021,NPR,1/1/2026
ACC0000000220,CUST00004527,BR0032,LOAN,ACTIVE,3/30/2024,NPR,1/1/2026
ACC0000000221,CUST00004078,BR0029,WALLET,CLOSED,8/7/2020,NPR,1/1/2026
ACC0000000222,CUST00004650,BR0008,CURRENT,ACTIVE,8/29/2024,NPR,1/1/2026
ACC0000000223,CUST00001060,BR0008,CURRENT,CLOSED,11/28/2019,NPR,1/1/2026
ACC0000000224,CUST00000735,BR0008,WALLET,ACTIVE,6/28/2021,NPR,1/1/2026
ACC0000000225,CUST00002883,BR0021,WALLET,ACTIVE,12/22/2020,NPR,1/1/2026
ACC0000000226,CUST00004724,BR0023,WALLET,ACTIVE,8/26/2023,NPR,1/1/2026
ACC0000000227,CUST00004332,BR0027,WALLET,ACTIVE,5/15/2024,NPR,1/1/2026
ACC0000000228,CUST00001955,BR0016,SAVINGS,ACTIVE,9/3/2022,NPR,1/1/2026
ACC0000000229,CUST00002605,BR0001,SALARY,ACTIVE,11/16/2020,NPR,1/1/2026
ACC0000000230,CUST00001557,BR0015,WALLET,ACTIVE,2/3/2024,NPR,1/1/2026
ACC0000000231,CUST00004788,BR0011,CURRENT,ACTIVE,8/26/2020,NPR,1/1/2026
ACC0000000232,CUST00003530,BR0001,WALLET,ACTIVE,11/16/2025,NPR,1/1/2026
ACC0000000233,CUST00004047,BR0019,SALARY,ACTIVE,12/31/2022,NPR,1/1/2026
ACC0000000234,CUST00003862,BR0001,LOAN,ACTIVE,7/30/2020,NPR,1/1/2026
ACC0000000235,CUST00002461,BR0021,CURRENT,ACTIVE,6/25/2020,NPR,1/1/2026
ACC0000000236,CUST00003987,BR0034,WALLET,ACTIVE,6/3/2022,NPR,1/1/2026
ACC0000000237,CUST00003670,BR0029,SAVINGS,ACTIVE,2/26/2023,NPR,1/1/2026
ACC0000000238,CUST00000673,BR0007,SAVINGS,ACTIVE,9/17/2024,NPR,1/1/2026
ACC0000000239,CUST00002649,BR0004,SALARY,ACTIVE,9/17/2022,NPR,1/1/2026
ACC0000000240,CUST00001149,BR0019,SAVINGS,ACTIVE,12/27/2024,NPR,1/1/2026
ACC0000000241,CUST00002334,BR0032,CURRENT,ACTIVE,12/25/2024,NPR,1/1/2026
ACC0000000242,CUST00001390,BR0002,CURRENT,ACTIVE,1/16/2024,NPR,1/1/2026
ACC0000000243,CUST00004985,BR0005,LOAN,ACTIVE,4/7/2019,NPR,1/1/2026
ACC0000000244,CUST00002912,BR0023,WALLET,ACTIVE,5/6/2021,NPR,1/1/2026
ACC0000000245,CUST00003070,BR0009,CURRENT,ACTIVE,3/28/2024,NPR,1/1/2026
ACC0000000246,CUST00000867,BR0038,SALARY,ACTIVE,5/31/2022,NPR,1/1/2026
ACC0000000247,CUST00003640,BR0035,SALARY,ACTIVE,7/2/2021,NPR,1/1/2026
ACC0000000248,CUST00002116,BR0019,LOAN,ACTIVE,5/29/2021,NPR,1/1/2026
ACC0000000249,CUST00004865,BR0033,LOAN,ACTIVE,9/13/2020,NPR,1/1/2026
ACC0000000250,CUST00002259,BR0028,SALARY,ACTIVE,6/21/2019,NPR,1/1/2026
ACC0000000251,CUST00002630,BR0003,SAVINGS,DORMANT,2/8/2023,NPR,1/1/2026
ACC0000000252,CUST00003998,BR0016,WALLET,ACTIVE,10/28/2021,NPR,1/1/2026
ACC0000000253,CUST00001828,BR0017,CURRENT,ACTIVE,3/20/2025,NPR,1/1/2026
ACC0000000254,CUST00000864,BR0037,SAVINGS,ACTIVE,3/20/2020,NPR,1/1/2026
ACC0000000255,CUST00004663,BR0030,WALLET,ACTIVE,4/20/2021,NPR,1/1/2026
ACC0000000256,CUST00000768,BR0037,CURRENT,ACTIVE,11/6/2022,NPR,1/1/2026
ACC0000000257,CUST00003092,BR0030,WALLET,ACTIVE,5/25/2025,NPR,1/1/2026
ACC0000000258,CUST00001476,BR0017,LOAN,ACTIVE,9/4/2019,NPR,1/1/2026
ACC0000000259,CUST00001919,BR0008,LOAN,ACTIVE,7/8/2022,NPR,1/1/2026
ACC0000000260,CUST00004997,BR0035,LOAN,ACTIVE,8/25/2021,NPR,1/1/2026
ACC0000000261,CUST00003154,BR0001,SALARY,ACTIVE,11/29/2024,NPR,1/1/2026
ACC0000000262,CUST00000766,BR0034,SALARY,CLOSED,7/15/2020,NPR,1/1/2026
ACC0000000263,CUST00004998,BR0031,SAVINGS,ACTIVE,7/15/2024,NPR,1/1/2026
ACC0000000264,CUST00000692,BR0040,CURRENT,ACTIVE,2/20/2025,NPR,1/1/2026
ACC0000000265,CUST00000500,BR0006,SAVINGS,ACTIVE,5/29/2023,NPR,1/1/2026
ACC0000000266,CUST00004647,BR0034,CURRENT,ACTIVE,3/4/2020,NPR,1/1/2026
ACC0000000267,CUST00001918,BR0040,CURRENT,ACTIVE,9/19/2021,NPR,1/1/2026
ACC0000000268,CUST00003443,BR0030,SAVINGS,DORMANT,2/7/2021,NPR,1/1/2026
ACC0000000269,CUST00003981,BR0031,LOAN,DORMANT,2/25/2022,NPR,1/1/2026
ACC0000000270,CUST00002220,BR0019,CURRENT,ACTIVE,8/2/2023,NPR,1/1/2026
ACC0000000271,CUST00000344,BR0024,SAVINGS,ACTIVE,10/25/2023,NPR,1/1/2026
ACC0000000272,CUST00002727,BR0032,LOAN,ACTIVE,6/10/2020,NPR,1/1/2026
ACC0000000273,CUST00001864,BR0018,LOAN,ACTIVE,11/23/2021,NPR,1/1/2026
ACC0000000274,CUST00000261,BR0032,SALARY,ACTIVE,2/27/2024,NPR,1/1/2026
ACC0000000275,CUST00002077,BR0028,LOAN,ACTIVE,6/7/2024,NPR,1/1/2026
